epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.729,1.64306,2.1977,1.41657,0.49866,0.51436,0.47079,0.30935,1.40258,1.17168,1.3192,0.0033303,0.0033303,0.0033303
2,804.649,1.67059,1.48091,1.39693,0.53661,0.50399,0.4814,0.28557,1.52759,1.23726,1.3884,0.00659766,0.00659766,0.00659766
3,1202.4,1.84857,1.74175,1.48913,0.46528,0.43429,0.42546,0.24498,1.57983,1.59023,1.43721,0.00979902,0.00979902,0.00979902
4,1610.26,1.94333,1.89987,1.57101,0.29377,0.42262,0.36289,0.22219,1.63501,1.64017,1.50418,0.009703,0.009703,0.009703
5,2026.81,1.91853,1.77645,1.54453,0.50437,0.44329,0.43153,0.25689,1.61924,1.55091,1.46859,0.009604,0.009604,0.009604
6,2436.53,1.82178,1.6304,1.47819,0.39605,0.53506,0.44412,0.27193,1.57662,1.27938,1.43458,0.009505,0.009505,0.009505
7,2844.88,1.7926,1.53376,1.4597,0.57415,0.58613,0.54707,0.31742,1.53833,1.25356,1.39229,0.009406,0.009406,0.009406
8,3261.82,1.76414,1.46148,1.4326,0.49481,0.59246,0.4823,0.2992,1.49033,1.23336,1.38242,0.009307,0.009307,0.009307
9,3670.36,1.71669,1.4023,1.40675,0.63147,0.66628,0.61287,0.35048,1.46967,1.01991,1.35624,0.009208,0.009208,0.009208
10,4063.03,1.70186,1.35054,1.39822,0.60539,0.64483,0.58117,0.35223,1.47052,1.06957,1.35928,0.009109,0.009109,0.009109
11,4460.03,1.68234,1.32019,1.38617,0.57091,0.69608,0.56704,0.33722,1.42844,1.03493,1.34273,0.00901,0.00901,0.00901
12,4840.14,1.64899,1.28334,1.36286,0.57148,0.63841,0.57788,0.34947,1.40083,0.98672,1.31257,0.008911,0.008911,0.008911
13,5219.9,1.6395,1.23946,1.352,0.56666,0.6741,0.56387,0.34196,1.45672,1.01776,1.32459,0.008812,0.008812,0.008812
14,5599.54,1.61641,1.21415,1.34473,0.62789,0.64755,0.61052,0.36715,1.4035,0.99737,1.31141,0.008713,0.008713,0.008713
15,5995.41,1.60455,1.19542,1.34401,0.66897,0.62717,0.6325,0.37102,1.38828,0.94411,1.2963,0.008614,0.008614,0.008614
16,6395.02,1.59182,1.17285,1.32528,0.58046,0.6627,0.60406,0.3611,1.38093,1.00032,1.28561,0.008515,0.008515,0.008515
17,6794.89,1.56634,1.13782,1.3123,0.64553,0.6721,0.65366,0.37779,1.37782,0.94457,1.29248,0.008416,0.008416,0.008416
18,7195.77,1.55315,1.12829,1.31964,0.64328,0.66614,0.65911,0.37968,1.4262,0.95677,1.3249,0.008317,0.008317,0.008317
19,7595.84,1.54404,1.12438,1.30508,0.58587,0.72303,0.61034,0.37187,1.37409,0.93653,1.28238,0.008218,0.008218,0.008218
20,7995.98,1.53699,1.10225,1.28704,0.64205,0.68571,0.6381,0.38462,1.37967,0.91111,1.27289,0.008119,0.008119,0.008119
21,8395.94,1.53021,1.09831,1.28502,0.58194,0.72255,0.62913,0.37152,1.38298,0.93792,1.27495,0.00802,0.00802,0.00802
22,8795.36,1.50277,1.0565,1.27072,0.61824,0.71525,0.6434,0.38592,1.35526,0.90736,1.26878,0.007921,0.007921,0.007921
23,9203.66,1.52128,1.07451,1.28577,0.61568,0.70905,0.64774,0.38262,1.38139,0.90615,1.28127,0.007822,0.007822,0.007822
24,9613.85,1.49926,1.04436,1.27269,0.60708,0.72847,0.63122,0.38248,1.36841,0.89992,1.27241,0.007723,0.007723,0.007723
25,10024.4,1.48608,1.03301,1.26808,0.63606,0.66709,0.65062,0.38449,1.34781,0.88307,1.26552,0.007624,0.007624,0.007624
26,10435,1.49237,1.01742,1.26043,0.67616,0.70869,0.69979,0.41323,1.33062,0.83002,1.24721,0.007525,0.007525,0.007525
27,10846.4,1.46751,1.01315,1.2566,0.62098,0.68796,0.62953,0.39202,1.34578,0.87252,1.2661,0.007426,0.007426,0.007426
28,11253.2,1.44736,0.98804,1.2447,0.628,0.73329,0.66044,0.40552,1.32388,0.8644,1.24747,0.007327,0.007327,0.007327
29,11658.8,1.45357,0.99594,1.24187,0.63313,0.69726,0.64904,0.3961,1.33346,0.87528,1.2498,0.007228,0.007228,0.007228
30,12067.7,1.44217,0.98072,1.24057,0.61099,0.71446,0.65285,0.40088,1.32831,0.83886,1.24417,0.007129,0.007129,0.007129
31,12481.6,1.42776,0.97964,1.23811,0.63276,0.711,0.64654,0.40164,1.32027,0.82938,1.24206,0.00703,0.00703,0.00703
32,12879.5,1.41455,0.95626,1.22084,0.61293,0.70738,0.64852,0.39528,1.31244,0.84177,1.23383,0.006931,0.006931,0.006931
33,13262.7,1.41502,0.94934,1.22081,0.62994,0.78424,0.6536,0.4027,1.33928,0.8153,1.25178,0.006832,0.006832,0.006832
34,13648.2,1.41988,0.95615,1.22545,0.64031,0.72794,0.66603,0.40748,1.32183,0.82501,1.24232,0.006733,0.006733,0.006733
35,14030.2,1.40365,0.94698,1.21318,0.62139,0.73408,0.64,0.39648,1.34051,0.85893,1.25197,0.006634,0.006634,0.006634
36,14416.2,1.4029,0.93942,1.21615,0.66033,0.75236,0.69391,0.4175,1.33631,0.8086,1.25127,0.006535,0.006535,0.006535
37,14801.1,1.40136,0.92808,1.21377,0.61478,0.72032,0.63191,0.394,1.32535,0.84977,1.24627,0.006436,0.006436,0.006436
38,15208.8,1.38609,0.90453,1.20715,0.64147,0.7282,0.67878,0.4167,1.32195,0.81612,1.24071,0.006337,0.006337,0.006337
39,15619.6,1.38311,0.90735,1.20534,0.64295,0.74973,0.6695,0.40621,1.32794,0.82091,1.24484,0.006238,0.006238,0.006238
40,16029.8,1.38046,0.90457,1.20301,0.69111,0.72562,0.706,0.4228,1.31993,0.79944,1.2363,0.006139,0.006139,0.006139
41,16434.2,1.37972,0.90613,1.20516,0.63556,0.74548,0.68478,0.41338,1.33559,0.81338,1.24403,0.00604,0.00604,0.00604
42,16834,1.36507,0.89375,1.19237,0.64107,0.7455,0.68514,0.41477,1.32201,0.81308,1.23439,0.005941,0.005941,0.005941
43,17235.8,1.3617,0.88687,1.18689,0.65622,0.75692,0.6858,0.4136,1.33481,0.78568,1.24706,0.005842,0.005842,0.005842
44,17640.5,1.35768,0.87668,1.17972,0.63431,0.78286,0.68266,0.41517,1.32764,0.79776,1.24113,0.005743,0.005743,0.005743
45,18049.5,1.33702,0.86731,1.17696,0.62959,0.75655,0.66638,0.41281,1.32266,0.79763,1.23995,0.005644,0.005644,0.005644
46,18450,1.34614,0.87878,1.17961,0.63944,0.74596,0.66996,0.41293,1.31074,0.81124,1.23012,0.005545,0.005545,0.005545
47,18850.4,1.32973,0.86084,1.17214,0.6432,0.76202,0.67371,0.41617,1.30871,0.79544,1.22459,0.005446,0.005446,0.005446
48,19259.1,1.33384,0.86184,1.17205,0.66172,0.74851,0.68987,0.42343,1.32118,0.77274,1.23139,0.005347,0.005347,0.005347
49,19673.4,1.3318,0.86323,1.17517,0.65366,0.77073,0.69353,0.41849,1.32949,0.77516,1.2452,0.005248,0.005248,0.005248
50,20083.5,1.32072,0.84689,1.16289,0.6331,0.77366,0.67797,0.41657,1.3282,0.7776,1.23473,0.005149,0.005149,0.005149
